,HOME,AWAY,PTS,FG%,3P%,FT%,OREB,DREB,REB,AST,BLK,TOV,PF
488,SAS,POR,-2.8902439024390247,0.4256097560975718,-1.5085365853658814,-2.715853658536602,0.17073170731707243,-1.414634146341463,-1.2439024390243887,3.2804878048780495,0.4512195121951219,-0.3780487804878039,-2.329268292682926
489,TOR,SAC,12.829268292682926,2.19146341463415,-1.968292682926851,4.748780487804879,0.29268292682926855,2.792682926829272,3.08536585365853,2.768292682926827,1.951219512195122,-0.3658536585365848,1.7560975609756078
490,UTA,SAS,1.4146341463414558,0.471951219512178,1.4280487804878206,0.5219512195121894,-1.3292682926829276,0.3658536585365866,-0.9634146341463392,-0.3536585365853675,-0.48780487804878003,1.548780487804878,2.439024390243901
491,WAS,TOR,-5.048780487804876,-0.501219512195135,1.5731707317073358,-1.3365853658536082,0.2804878048780495,-1.146341463414636,-0.8658536585365795,0.8536585365853675,-1.7926829268292686,1.2317073170731714,-0.45121951219512013
492,CHA,ATL,4.8658536585365795,0.28780487804879584,-0.05853658536585016,-3.9731707317072846,1.02439024390244,2.5365853658536537,3.560975609756092,-2.1463414634146325,0.30487804878048763,-2.8414634146341466,-2.402439024390244
493,CHI,BKN,-3.670731707317074,-0.6304878048780438,-0.23780487804876316,-2.2109756097560904,-0.024390243902438158,0.24390243902438868,0.21951219512195053,-0.21951219512195053,-1.2317073170731705,-1.1951219512195124,-1.426829268292682
494,CLE,BOS,6.853658536585357,2.595121951219504,-0.8914634146341456,0.6463414634146574,-0.8902439024390247,-1.4268292682926784,-2.3170731707317103,0.9024390243902438,-0.7439024390243905,-0.2682926829268286,-1.1463414634146325
495,DAL,CHA,-5.902439024390247,-0.5085365853658672,-0.198780487804882,1.5817073170731675,-1.9634146341463428,-2.2439024390243887,-4.207317073170728,1.073170731707318,-0.7682926829268295,-0.4146341463414629,2.0609756097560954
496,DEN,CHI,7.073170731707322,3.45000000000001,1.369512195121942,1.3926829268292664,1.3658536585365848,-1.5121951219512155,-0.14634146341462895,1.6585365853658516,1.4024390243902438,0.963414634146341,-0.46341463414634276
497,DET,CLE,-7.097560975609753,-2.707317073170728,-0.008536585365845895,-3.670731707317074,1.6585365853658534,-0.06097560975609895,1.5975609756097597,-0.5853658536585371,0.060975609756097615,-0.29268292682926855,-0.19512195121951237
498,GSW,DAL,11.146341463414643,5.801219512195146,2.791463414634137,5.0743902439024,0.3048780487804894,1.9512195121951237,2.2560975609756113,6.634146341463413,3.6829268292682933,3.1463414634146343,0.3536585365853675
499,HOU,DEN,2.353658536585371,-1.0036585365853696,-0.337804878048793,0.9268292682926784,-1.987804878048781,0.939024390243901,-1.0487804878048834,-3.560975609756099,-0.14634146341463428,-1.1097560975609753,0.7804878048780495
500,IND,DET,1.792682926829272,2.29146341463413,-0.6512195121951265,4.007317073170739,-0.5121951219512191,-0.8780487804878021,-1.3902439024390247,-0.5975609756097562,0.28048780487804903,-0.1707317073170742,0.43902439024390105
501,LAC,GSW,-4.475609756097569,-3.0560975609756085,-3.7646341463414643,-7.460975609756048,1.7195121951219505,-1.353658536585364,0.3658536585365795,-6.951219512195124,-2.9268292682926838,-0.7439024390243905,0.37804878048780566
502,LAL,HOU,-4.2804878048780495,0.05853658536584305,-2.3853658536585414,-6.178048780487799,1.6707317073170742,1.2439024390243887,2.914634146341463,2.219512195121954,-0.04878048780487809,1.951219512195122,1.6951219512195124
503,MEM,IND,-6.231707317073173,-2.8817073170731646,-1.4780487804877964,0.06463414634146147,-0.10975609756097526,-1.707317073170735,-1.8170731707317103,-0.634146341463417,0.6829268292682924,1.6951219512195124,4.341463414634148
504,MIA,LAC,-5.573170731707307,-1.69390243902442,0.6817073170731689,1.645121951219508,-0.8414634146341466,0.4268292682926784,-0.4146341463414629,0.3658536585365866,0.7926829268292686,-0.3170731707317085,0.12195121951219434
505,MIL,LAL,-1.5975609756097668,1.803658536585388,1.6292682926829372,6.562195121951248,-2.2926829268292686,-4.243902439024389,-6.536585365853654,-0.5365853658536608,0.6707317073170733,-1.951219512195122,0.19512195121951237
506,MIN,MEM,10.182926829268297,3.3256097560975704,0.7012195121951166,2.0231707317073244,0.8414634146341466,0.5975609756097562,1.439024390243901,1.146341463414636,-0.6219512195121952,-2.512195121951219,-4.939024390243905
507,NOP,MIA,8.30487804878048,2.830487804878061,0.14634146341465026,1.8585365853658118,-0.6219512195121943,1.4878048780487845,0.8658536585365866,4.060975609756099,0.5853658536585371,0.5487804878048781,-0.9512195121951237
508,NYK,MIL,-2.0121951219512084,-1.4182926829268538,-0.36829268292682826,0.27439024390240263,2.085365853658537,2.1097560975609753,4.195121951219512,0.0853658536585371,-0.2682926829268295,0.8902439024390247,-0.8536585365853675
509,OKC,MIN,-1.6585365853658516,-2.429268292682913,-0.5853658536585442,-8.768292682926841,2.1463414634146343,0.9512195121951201,3.0975609756097597,-1.3536585365853675,0.8170731707317076,1.536585365853659,1.9268292682926855
510,ORL,NOP,-8.317073170731703,-3.136585365853655,-1.1426829268292735,-1.2487804878048934,0.12195121951219434,-2.8170731707317103,-2.6951219512195124,-3.3414634146341484,-1.036585365853659,-0.3780487804878039,0.10975609756097882
511,PHI,NYK,5.341463414634148,0.771951219512232,1.4304878048780552,-2.7548780487804834,0.4146341463414629,2.975609756097562,3.3902439024390247,3.7682926829268304,-0.012195121951219079,1.7682926829268286,1.573170731707318
512,PHX,OKC,-3.9268292682926926,-0.9914634146341612,-1.6768292682926642,2.2939024390243787,-2.2195121951219523,1.2804878048780495,-0.939024390243901,-0.08536585365853355,-0.51219512195122,1.7317073170731696,1.878048780487802
513,POR,ORL,2.2195121951219505,0.05365853658536679,1.9329268292682968,4.339024390243964,1.3780487804878057,2.4512195121951237,3.829268292682926,-3.926829268292682,0.2804878048780486,-1.0121951219512209,0.24390243902438868
